quantity,unitMax,sendToAdministrator,price,totalPrice,date,optionUnit,unit,customer,unitIndividual,pricePerUnit,idProductList,productName,dateRegister
3,,True,1,10.5,2023-12-29,"['UNIDAD', 'CAJA']",0,,24,3.5,Pozb56BZPLc9tgyJv40e,TOLL JUREL P-RUVIAN EN SALSA DE TOMATE,2023-12-29 16:34:17.995000+00:00
12,,True,40,8.5,2024-12-02,"['UNIDAD', 'SACO', '']",0,,60,0.7083333333333334,lL4oOeJM1kd26rAigvIp,DETERGENTE SHELBY,2024-12-02 16:32:35.756000+00:00
4,,True,1,10.0,2024-01-14,"['UNIDAD', 'CAJA']",0,,48,2.5,7vIFOFhUFI8BuzsqJbmM,GRATED DE ATUN DON LUCHO EN ACEITE VEGETAL,2024-01-14 17:33:43.033000+00:00
6,,True,1,15.0,2024-11-12,"['UNIDAD', 'CAJA']",0,,48,2.5,NFBKbTODCUZh1VarxViN,FILETE DE CABALLA  DELIMAR EN ACEITE VEGETAL,2024-11-12 16:08:44.581000+00:00
6,,True,1,15.0,2024-04-18,"['UNIDAD', 'CAJA']",0,,48,2.5,CT7FbHVBovQuAcwZ5R9N,FILETE DE CABALLA  DELIMAR EN ACEITE VEGETAL,2024-04-18 17:11:30.479000+00:00
1,,True,37,17.5,2024-03-29,"['UNIDAD', 'CAJA', '']",1,,24,17.5,6PzxjO6sJIkq5OZXTDT3, ACEITE PALMEROLA SACHET 75 ML (CAJA),2024-03-29 16:39:13.045000+00:00
3,,True,3,8.0,2024-03-17,"['UNIDAD', 'PAQUETE']",0,,12,2.6666666666666665,jjX0CNHxc5widmUZR59d,ACEITE PURA SELVA 1/2 LITRO,2024-03-17 17:12:25.324000+00:00
12,,True,0,23.0,2023-11-04,"['UNIDAD', 'CAJA']",0,,48,1.9166666666666667,uXWDUwhTKjYeCCSm2WrN,GRATED DE SARDINA PREMIUM LYDEMAR EN ACEITE VEGETAL,2023-11-04 16:20:44.006000+00:00
1,,True,9.9,31.0,2024-11-01,"['UNIDAD', 'CAJA', '']",1,,40,31,7U7o5PgQ6zOquBvbSkTX,JABON ROPA CHICO 115 GR,2024-11-01 15:52:04.690000+00:00
30,,True,39,18.0,2024-09-01,"['UNIDAD', 'SACO', '']",0,,60,0.6,N5Fp8xnQEvSYhTD1COgv,DETERGENTE TROME,2024-09-01 15:51:20.881000+00:00
1,,True,1,130.0,2024-09-17,"['UNIDAD', 'CAJA']",1,,48,130,WC4rVBbz9h0DHvCj9p4h,FILETE DE CABALLA LYDEMAR EN ACEITE VEGETAL,2024-09-17 17:23:27.104000+00:00
12,,True,1,34.0,2024-08-20,"['UNIDAD', 'CAJA']",0,,48,2.8333333333333335,NBx9WlaN97X3wCsGjBTu,FILETE DE CABALLA P-RUVIAN MAR EN ACEITE VEGETAL,2024-08-20 16:27:17.218000+00:00
2,,True,1,9.6,2024-09-22,"['UNIDAD', 'PAQUETE']",0,,12,4.8,vNV3LxLHfWO8G1wlQnqN,ACEITE PALMEROLA CON TAPA 900 ML,2024-09-22 15:19:18.090000+00:00
